id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5059,ARMENIA,Departamental,18490002,4,VASQUEZ,,ALVARO,828,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5059,ARMENIA,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,1102,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5059,ARMENIA,Departamental,,997,TARJETAS NO MARCADAS,,,425,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5059,ARMENIA,Departamental,,998,VOTOS NULOS,,,35,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5059,ARMENIA,Departamental,,999,VOTOS EN BLANCO,,,64,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5079,BARBOSA,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,267,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5079,BARBOSA,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,2751,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5079,BARBOSA,Departamental,18490002,4,VASQUEZ,,ALVARO,4114,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5079,BARBOSA,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,10025,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5079,BARBOSA,Departamental,,997,TARJETAS NO MARCADAS,,,2590,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5079,BARBOSA,Departamental,,998,VOTOS NULOS,,,296,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5079,BARBOSA,Departamental,,999,VOTOS EN BLANCO,,,743,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5086,BELMIRA,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,19,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5086,BELMIRA,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,53,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5086,BELMIRA,Departamental,18490002,4,VASQUEZ,,ALVARO,1114,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5086,BELMIRA,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,1432,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5086,BELMIRA,Departamental,,997,TARJETAS NO MARCADAS,,,168,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5086,BELMIRA,Departamental,,998,VOTOS NULOS,,,27,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5086,BELMIRA,Departamental,,999,VOTOS EN BLANCO,,,43,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5088,BELLO,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,2837,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5088,BELLO,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,10125,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5088,BELLO,Departamental,18490002,4,VASQUEZ,,ALVARO,29215,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5088,BELLO,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,55528,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5088,BELLO,Departamental,,997,TARJETAS NO MARCADAS,,,9999,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5088,BELLO,Departamental,,998,VOTOS NULOS,,,2868,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5088,BELLO,Departamental,,999,VOTOS EN BLANCO,,,13868,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5091,BETANIA,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,65,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5091,BETANIA,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,1180,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5091,BETANIA,Departamental,18490002,4,VASQUEZ,,ALVARO,1230,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5091,BETANIA,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,790,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5091,BETANIA,Departamental,,997,TARJETAS NO MARCADAS,,,1423,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5091,BETANIA,Departamental,,998,VOTOS NULOS,,,53,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5091,BETANIA,Departamental,,999,VOTOS EN BLANCO,,,203,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5093,BETULIA,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,88,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5093,BETULIA,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,544,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5093,BETULIA,Departamental,18490002,4,VASQUEZ,,ALVARO,2149,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5093,BETULIA,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,2116,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5093,BETULIA,Departamental,,997,TARJETAS NO MARCADAS,,,1182,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5093,BETULIA,Departamental,,998,VOTOS NULOS,,,173,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5093,BETULIA,Departamental,,999,VOTOS EN BLANCO,,,183,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,59,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,2424,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,Departamental,18490002,4,VASQUEZ,,ALVARO,3659,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,3150,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,Departamental,,997,TARJETAS NO MARCADAS,,,1781,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,Departamental,,998,VOTOS NULOS,,,213,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,Departamental,,999,VOTOS EN BLANCO,,,464,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5107,BRICENO,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,35,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5107,BRICENO,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,138,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5107,BRICENO,Departamental,18490002,4,VASQUEZ,,ALVARO,675,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5107,BRICENO,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,1570,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5107,BRICENO,Departamental,,997,TARJETAS NO MARCADAS,,,792,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5107,BRICENO,Departamental,,998,VOTOS NULOS,,,42,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5107,BRICENO,Departamental,,999,VOTOS EN BLANCO,,,81,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5113,BURITICA,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,14,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5113,BURITICA,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,309,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5113,BURITICA,Departamental,18490002,4,VASQUEZ,,ALVARO,1681,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5113,BURITICA,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,793,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5113,BURITICA,Departamental,,997,TARJETAS NO MARCADAS,,,786,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5113,BURITICA,Departamental,,998,VOTOS NULOS,,,29,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5113,BURITICA,Departamental,,999,VOTOS EN BLANCO,,,88,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5120,CACERES,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,200,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5120,CACERES,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,1237,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5120,CACERES,Departamental,18490002,4,VASQUEZ,,ALVARO,2073,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5120,CACERES,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,1832,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5120,CACERES,Departamental,,997,TARJETAS NO MARCADAS,,,3356,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5120,CACERES,Departamental,,998,VOTOS NULOS,,,113,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5120,CACERES,Departamental,,999,VOTOS EN BLANCO,,,437,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5125,CAICEDO,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,6,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5125,CAICEDO,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,909,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5125,CAICEDO,Departamental,18490002,4,VASQUEZ,,ALVARO,291,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5125,CAICEDO,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,1394,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5125,CAICEDO,Departamental,,997,TARJETAS NO MARCADAS,,,677,0
